Problema;Variable;Claúsulas;K;MejoraLocal;Previo;PartirVars;TLectura;TBúsqueda;TTotal;SAT
CNF/SATHolV42C133.cnf;42;133;K05;N;N;N;0.00046563148498535156;54.62941122055054;54.62988591194153;UNSAT
CNF/SATHolV42C133.cnf;42;133;K05;N;N;Y;0.00046563148498535156;54.39786148071289;54.39836502075195;UNSAT
CNF/SATHolV42C133.cnf;42;133;K10;N;N;N;0.00046563148498535156;54.442471504211426;54.442976236343384;UNSAT
CNF/SATHolV42C133.cnf;42;133;K10;N;N;Y;0.00046563148498535156;54.50292897224426;54.50343632698059;UNSAT
CNF/SATHolV42C133.cnf;42;133;K15;N;N;N;0.00046563148498535156;55.497422218322754;55.49792814254761;UNSAT
CNF/SATHolV42C133.cnf;42;133;K15;N;N;Y;0.00046563148498535156;55.49024677276611;55.490755796432495;UNSAT
CNF/SATHolV42C133.cnf;42;133;K20;N;N;N;0.00046563148498535156;54.99982523918152;55.00032997131348;UNSAT
CNF/SATHolV42C133.cnf;42;133;K20;N;N;Y;0.00046563148498535156;54.969619274139404;54.97012734413147;UNSAT
CNF/SATHolV42C133.cnf;42;133;K25;N;N;N;0.00046563148498535156;55.86631107330322;55.866819620132446;UNSAT
CNF/SATHolV42C133.cnf;42;133;K25;N;N;Y;0.00046563148498535156;55.75551700592041;55.75602722167969;UNSAT
CNF/SATPlanV48C261.cnf;48;261;K05;N;N;N;0.0008866786956787109;0.05755019187927246;0.0585026741027832;SAT
CNF/SATPlanV48C261.cnf;48;261;K05;N;N;Y;0.0008866786956787109;0.05765247344970703;0.0585789680480957;SAT
CNF/SATPlanV48C261.cnf;48;261;K10;N;N;N;0.0008866786956787109;0.05864381790161133;0.059564828872680664;SAT
CNF/SATPlanV48C261.cnf;48;261;K10;N;N;Y;0.0008866786956787109;0.05859518051147461;0.05951571464538574;SAT
CNF/SATPlanV48C261.cnf;48;261;K15;N;N;N;0.0008866786956787109;0.058608055114746094;0.05952954292297363;SAT
CNF/SATPlanV48C261.cnf;48;261;K15;N;N;Y;0.0008866786956787109;0.058472394943237305;0.05939364433288574;SAT
CNF/SATPlanV48C261.cnf;48;261;K20;N;N;N;0.0008866786956787109;0.05867481231689453;0.05959630012512207;SAT
CNF/SATPlanV48C261.cnf;48;261;K20;N;N;Y;0.0008866786956787109;0.058661699295043945;0.059583425521850586;SAT
