Problema;Variable;Claúsulas;Q;MejoraLocal;Previo;PartirVars;TLectura;TBúsqueda;TTotal;SAT
CNF/SATCircuitosV1363C3032.cnf;1363;3032;15;False;False;p;0.09075284004211426;13.588948726654053;13.679701566696167;SAT
CNF/SATCircuitosV1363C3032.cnf;1363;3032;15;False;False;r;0.09075284004211426;13.44405722618103;13.535807609558105;SAT
CNF/SATCircuitosV1363C3032.cnf;1363;3032;15;False;False;u;0.09075284004211426;15.333603858947754;15.424356698989868;SAT
CNF/SATCircuitosV1363C3032.cnf;1363;3032;15;False;False;e;0.09075284004211426;15.359273672103882;15.451023817062378;SAT
CNF/SATCircuitosV1363C3032.cnf;1363;3032;15;False;False;b;0.09075284004211426;14.499716520309448;14.591466426849365;SAT
CNF/SATCircuitosV1363C3032.cnf;1363;3032;15;False;False;a;0.09075284004211426;14.484147787094116;14.57490062713623;SAT
CNF/SATCircuitosV1363C3032.cnf;1363;3032;15;False;False;0;0.09075284004211426;15.237961053848267;15.329711198806763;SAT
CNF/SATCircuitosV1363C3032.cnf;1363;3032;15;False;False;5;0.09075284004211426;15.931284189224243;16.023034811019897;SAT
CNF/SATCircuitosV1363C3032.cnf;1363;3032;15;False;False;.;0.09075284004211426;14.574650287628174;14.665403127670288;SAT
CNF/SATCircuitosV1363C3032.cnf;1363;3032;15;False;False;t;0.09075284004211426;15.076775312423706;15.16852879524231;SAT
CNF/SATCircuitosV1363C3032.cnf;1363;3032;15;False;False;x;0.09075284004211426;15.08710241317749;15.178850173950195;SAT
CNF/SATCircuitosV1363C3032.cnf;1363;3032;15;False;False;t;0.09075284004211426;14.916379928588867;15.008130311965942;SAT
